PlayerValue,DealerValue,Result,InitialBalance,FinalBalance
18,10,t,7845,7845
16,4,l,7845,7795
25,10,l,7795,7745
23,10,l,7745,7695
17,2,w,7695,7745
17,4,l,7745,7695
22,11,l,7695,7645
24,10,l,7645,7595
21,6,w,7595,7645
20,10,w,7645,7695
16,5,l,7695,7645
21,10,w,7645,7695
20,7,w,7695,7745
22,10,l,7745,7695
25,10,l,7695,7645
25,9,l,7645,7595
17,9,w,7595,7645
17,11,l,7645,7595
18,2,l,7595,7545
21,5,w,7545,7595
21,4,w,7595,7645
20,10,t,7645,7645
13,6,w,7645,7695
18,10,w,7695,7745
15,6,l,7745,7695
16,5,w,7695,7745
18,7,w,7745,7795
13,4,w,7795,7845
23,10,l,7845,7795
20,11,w,7795,7845
17,8,l,7845,7795
19,11,t,7795,7795
21,2,w,7795,7845
19,11,l,7845,7795
20,10,t,7795,7795
21,11,t,7795,7795
18,7,w,7795,7845
17,5,l,7845,7795
22,3,l,7795,7745
17,10,l,7745,7695
14,5,w,7695,7745
18,8,w,7745,7795
18,11,w,7795,7845
13,6,w,7845,7895
20,3,t,7895,7895
19,10,l,7895,7845
21,7,w,7845,7895
26,11,l,7895,7845
15,6,l,7845,7795
19,5,w,7795,7845
17,9,t,7845,7845
19,10,l,7845,7795
20,9,w,7795,7845
20,8,w,7845,7895
20,10,w,7895,7945
17,10,t,7945,7945
20,10,w,7945,7995
20,2,w,7995,8045
21,10,w,8045,8095
18,9,w,8095,8145
19,9,w,8145,8195
21,8,w,8195,8245
12,4,l,8245,8195
25,7,l,8195,8145
19,8,t,8145,8145
22,8,l,8145,8095
18,11,l,8095,8045
20,11,w,8045,8095
20,10,t,8095,8095
19,10,w,8095,8145
18,5,t,8145,8145
22,2,l,8145,8095
15,3,l,8095,8045
12,5,l,8045,7995
17,10,l,7995,7945
26,10,l,7945,7895
22,8,l,7895,7845
20,10,t,7845,7845
18,4,l,7845,7795
25,10,l,7795,7745
24,10,l,7745,7695
16,4,l,7695,7645
18,4,l,7645,7595
21,11,w,7595,7645
13,2,w,7645,7695
18,10,l,7695,7645
18,10,l,7645,7595
14,5,w,7595,7645
15,2,w,7645,7695
24,10,l,7695,7645
18,8,l,7645,7595
20,9,w,7595,7645
12,6,w,7645,7695
16,4,l,7695,7645
17,3,w,7645,7695
16,3,w,7695,7745
13,5,w,7745,7795
21,7,w,7795,7845
13,4,w,7845,7895
20,10,t,7895,7895
18,9,l,7895,7845
24,10,l,7845,7795
17,4,w,7795,7845
21,10,t,7845,7845
12,5,w,7845,7895
15,6,l,7895,7845
19,9,t,7845,7845
26,10,l,7845,7795
19,7,l,7795,7745
25,10,l,7745,7695
20,6,w,7695,7745
17,10,l,7745,7695
15,3,l,7695,7645
17,7,w,7645,7695
18,10,l,7695,7645
14,4,w,7645,7695
14,3,l,7695,7645
20,10,w,7645,7695
22,10,l,7695,7645
16,4,w,7645,7695
13,3,w,7695,7745
22,11,l,7745,7695
14,4,l,7695,7645
18,2,w,7645,7695
17,8,l,7695,7645
13,5,l,7645,7595
18,4,w,7595,7645
17,11,l,7645,7595
18,10,l,7595,7545
23,10,l,7545,7495
20,5,l,7495,7445
20,6,t,7445,7445
12,5,w,7445,7495
18,10,l,7495,7445
15,6,l,7445,7395
17,7,t,7395,7395
22,10,l,7395,7345
15,3,l,7345,7295
21,9,w,7295,7345
17,10,l,7345,7295
18,4,w,7295,7345
19,6,l,7345,7295
18,9,l,7295,7245
20,8,w,7245,7295
25,7,l,7295,7245
18,4,w,7245,7295
23,10,l,7295,7245
14,4,l,7245,7195
18,8,t,7195,7195
23,11,l,7195,7145
14,5,w,7145,7195
19,3,w,7195,7245
21,10,w,7245,7295
17,10,l,7295,7245
15,2,l,7245,7195
25,10,l,7195,7145
23,10,l,7145,7095
19,4,w,7095,7145
13,6,w,7145,7195
19,5,w,7195,7245
21,8,w,7245,7295
20,4,w,7295,7345
19,6,w,7345,7395
22,8,l,7395,7345
18,2,t,7345,7345
20,9,w,7345,7395
20,9,t,7395,7395
17,10,l,7395,7345
18,10,w,7345,7395
20,5,w,7395,7445
14,5,l,7445,7395
16,6,w,7395,7445
20,2,w,7445,7495
19,11,w,7495,7545
19,10,w,7545,7595
26,10,l,7595,7545
20,10,w,7545,7595
22,9,l,7595,7545
17,10,t,7545,7545
21,9,w,7545,7595
25,10,l,7595,7545
21,8,w,7545,7595
18,7,l,7595,7545
15,5,l,7545,7495
21,3,w,7495,7545
17,10,l,7545,7495
15,2,l,7495,7445
18,8,t,7445,7445
21,10,w,7445,7495
18,10,l,7495,7445
25,8,l,7445,7395
21,4,w,7395,7445
20,5,w,7445,7495
18,6,w,7495,7545
18,2,w,7545,7595
14,3,w,7595,7645
14,4,l,7645,7595
20,4,t,7595,7595
25,10,l,7595,7545
22,2,l,7545,7495
17,3,w,7495,7545
17,8,t,7545,7545
15,4,l,7545,7495
16,5,l,7495,7445
23,10,l,7445,7395
18,10,w,7395,7445
21,10,w,7445,7495
21,8,w,7495,7545
22,3,l,7545,7495
22,10,l,7495,7445
26,9,l,7445,7395
20,4,l,7395,7345
17,10,w,7345,7395
13,4,l,7395,7345
19,10,l,7345,7295
24,8,l,7295,7245
21,5,w,7245,7295
15,5,l,7295,7245
13,6,w,7245,7295
17,2,l,7295,7245
19,10,l,7245,7195
26,10,l,7195,7145
21,8,w,7145,7195
20,11,w,7195,7245
13,4,l,7245,7195
19,10,w,7195,7245
13,2,l,7245,7195
15,5,w,7195,7245
18,3,l,7245,7195
25,11,l,7195,7145
17,8,l,7145,7095
20,5,w,7095,7145
19,11,w,7145,7195
18,10,t,7195,7195
25,10,l,7195,7145
20,11,t,7145,7145
17,9,l,7145,7095
18,7,l,7095,7045
19,6,w,7045,7095
17,10,l,7095,7045
17,9,w,7045,7095
20,8,w,7095,7145
17,11,l,7145,7095
20,9,t,7095,7095
18,11,l,7095,7045
18,9,l,7045,6995
13,2,l,6995,6945
21,10,w,6945,6995
17,9,l,6995,6945
21,10,w,6945,6995
19,4,w,6995,7045
20,7,w,7045,7095
21,8,w,7095,7145
20,9,w,7145,7195
24,11,l,7195,7145
24,9,l,7145,7095
18,10,l,7095,7045
18,4,w,7045,7095
21,8,w,7095,7145
20,10,w,7145,7195
20,5,w,7195,7245
22,10,l,7245,7195
17,10,l,7195,7145
14,5,l,7145,7095
17,10,l,7095,7045
17,7,l,7045,6995
22,7,l,6995,6945
16,2,l,6945,6895
16,4,l,6895,6845
12,5,l,6845,6795
25,11,l,6795,6745
17,10,l,6745,6695
21,10,w,6695,6745
20,10,w,6745,6795
15,2,l,6795,6745
19,5,w,6745,6795
23,8,l,6795,6745
19,7,t,6745,6745
22,9,l,6745,6695
20,10,w,6695,6745
23,8,l,6745,6695
17,11,l,6695,6645
20,5,w,6645,6695
17,5,w,6695,6745
16,5,l,6745,6695
19,10,l,6695,6645
21,10,w,6645,6695
14,3,l,6695,6645
12,6,l,6645,6595
24,10,l,6595,6545
21,4,w,6545,6595
16,2,l,6595,6545
24,11,l,6545,6495
21,10,w,6495,6545
23,10,l,6545,6495
18,8,t,6495,6495
20,10,w,6495,6545
18,4,w,6545,6595
14,6,w,6595,6645
21,9,w,6645,6695
18,2,w,6695,6745
18,6,w,6745,6795
18,5,l,6795,6745
20,9,w,6745,6795
21,11,w,6795,6845
21,10,w,6845,6895
19,5,w,6895,6945
17,3,t,6945,6945
18,7,w,6945,6995
19,11,w,6995,7045
13,6,l,7045,6995
19,6,w,6995,7045
15,3,l,7045,6995
16,2,l,6995,6945
26,10,l,6945,6895
12,5,w,6895,6945
18,10,l,6945,6895
18,10,t,6895,6895
14,3,l,6895,6845
24,10,l,6845,6795
13,5,l,6795,6745
18,7,t,6745,6745
21,3,t,6745,6745
21,6,w,6745,6795
20,5,w,6795,6845
